,Zone,Recipy_Name,Main_Ingredients,Ingredients,Recipy_Link
10,east,Aloo fry recipe,"['aloo', ' potatoes']","['Potatoes - 2, very large size, wash, peel, cube and place in salted water for at least 20 to 30 mins\r', 'Turmeric powder - 1/2 tsp\r', 'Red chili powder - 1 1/2 tsps (adjust)\r', 'Coriander powder - 1 1/4 tsps\r', 'Besan - 1 tsp (chickpea flour/senagapindi)\r', 'Salt to taste\r', 'Cooking oil - 1 1/2 - 1 3/4 tbsps\r', 'For tempering:\r', 'Mustard seeds - 1/2 tsp\r', 'Asafoetida - 1/2 tsp\r', 'Curry leaves - 1 sprig (optional)']",http://www.sailusfood.com/2016/03/07/aloo-fry-potato-fry-recipe/
11,east,Mushroom pulao recipe,['mushrooms'],"['Mushrooms - 200 gms, cleaned, washed and sliced\r', 'Basmati rice - 2 cups, washed and soaked in water for 15 mins\r', 'Onions - 1, large, sliced\r', 'Ginger garlic paste - 1 tsp\r', 'Green chilis - 3, slit lengthwise\r', 'Fresh mint leaves - 1/4 cup packed\r', 'Fresh coriander leaves - 1/4 cup packed\r', 'Yogurt - 1/4 cup OR (thick coconut milk 1/4 cup)\r', 'Water - 1 1/2 cups\r', 'Cloves - 3\r', 'Green cardamom - 2\r', 'Black cardamom - 1\r', 'Cinnamon - 1"" stick\r', 'Shahjeera - 1/2 tsp\r', 'Nutmeg powder - 1/4 tsp\r', 'Star anise - 1\r', 'Mace - small piece\r', 'Bay leaf - 1\r', 'Cashew nuts - 10\r', 'Oil - 2 tbsps\r', 'Ghee - 2 tbsps']",http://www.sailusfood.com/2016/03/03/mushroom-pulao-recipe-indian-mushroom-recipes/
12,east,Indian Food Trail ~ Kodava Cuisine,[],[],http://www.sailusfood.com/2013/06/26/indian-food-kodava-cuisine-coorgi-recipes/
13,east,Lettuce Salad with Garlic Croutons,['lettuce'],"['Iceberg Lettuce - 1 head, remove leaves, wash and place in ice cold water\r', 'Green bell pepper - 1, finely sliced\r', 'Tomato - wash, de-seed and slice\r', 'Cucumber - 1, peeled and finely sliced\r', 'Garlic Croutons - 1 1/2 cups\r', 'Nuts - fistful, (almonds or pistachios or walnuts or peanuts), lightly toasted and chopped\r', 'For Salad Dressing - whisk all the ingredients for a few seconds and refrigerate until use\r', 'Vinegar - 1/2 tbsp\r', 'Extra virgin olive oil - 2 tbsps\r', 'Black pepper powder - freshly ground  I used a little less than 1/2 tsp\r', 'Cinnamon powder - small pinch\r', 'Roasted cumin powder - large pinch\r', 'Date syrup - 1 tsp (or jaggery syrup or castor sugar)']",http://www.sailusfood.com/2013/01/04/lettuce-salad-recipe/
14,east,Exploring Udupi Mangalorean Street Foods - by Sia of Monsoon Spice,['puffed rice'],[],http://www.sailusfood.com/2009/01/20/exploring-udipi-mangalorean-street-foods-by-sia-of-monsoon-spice/
15,east,Oats Upma,"['oats', ' mixed vegetables']","['Oats - 1 cup, dry roast for 5 minutes and cool\r', 'Carrot - 1, cubed\r', 'French Beans - 5-6, string and chop into pieces\r', 'Green peas - fistful (optional)\r', 'Onion - 1, finely sliced\r', 'Green Chilies - 2, slit \r', 'Ginger - 1tsp (grated)\r', 'Turmeric powder - 1/2 tsp\r', 'Salt to taste\r', 'Water - 1 cup\r', 'Ghee - 2 tsps\r', 'Oil - 2 tsps\r', 'Coriander leaves - 1 tbsp, finely chopped\r', 'Tempering/Poppu/Tadka:\r', 'Mustard seeds - 1/2 tsp\r', 'Cloves - 2\r', 'Cinnamon Stick - small piece\r', 'Star Anise - 1\r', 'Cardamom - 1\r', 'Bay Leaf - 1\r', 'Cashew nuts - 4-5\r', 'Curry leaves - 1 sprig']",http://www.sailusfood.com/2012/08/26/oats-upma-recipe/
16,east,Tomato Cheese Salad,"['tomato', ' cheese']",[],http://www.sailusfood.com/2011/04/08/tomato-cheese-salad/
17,east,Doughnuts,['flour'],"['Maida - 4 1/4 cups. (all purpose flour)\r', 'Baking powder - 2 1/2 tsps\r', 'Baking soda - 1 1/2 tsps\r', 'Butter - 1/4 cup\r', 'Eggs - 2\r', 'Buttermilk - 3/4 cup\r', 'Sugar - 1 cup\r', 'Cinnamon powder - 3/4 tsp\r', 'Nutmeg powder - 1/2 tsp\r', 'Salt - 2 tsp\r', 'Oil for deep frying\r', 'For Chocolate Glaze\r', 'Butter - 1/4 cup, unsalted butter\r', 'Milk - 1/4 cup\r', 'Light corn syrup - 1/2 tbsp\r', 'Dark Chocolate - 1/2 cup, finely chopped\r', 'Vanilla essence - 1 tsp\r', 'Powdered sugar - 1 cup, sifted']",http://www.sailusfood.com/2012/12/23/doughnuts-recipe/
18,east,Coconut Sevai,"['sevai', ' coconut']","['Idiyappam - 4 cups or a packet of ready made rice sevai\r', 'Fresh coconut - 1/2 cup, grated\r', 'Oil - 2 tsps\r', 'Salt to taste\r', 'For tempering:\r', 'Ghee - 1 tbsp (or oil)\r', 'Mustard seeds - 1 tsp\r', 'Chana dal - 1 tsp\r', 'Split urad dal - 1 tsp\r', 'Dry red chilies - 2, tear and de-seed\r', 'Green chilis - 2, slit into two\r', 'Asafoetida - 1/4 tsp\r', 'Cashew nuts - 8, break into small pieces\r', 'Red chillies - 2\r', 'Curry leaves â€“ 1 sprig']",http://www.sailusfood.com/2014/07/24/coconut-sevai-easy-tiffin-recipes/
19,east,Kulfi Recipe,"['full fat milk', ' sugar']","['Full fat milk - 1.25 lts\r', 'Powdered Sugar - 1/3 cup heaped\r', 'Cardamom - 4, powdered\r', 'Pistachios - 8, roughly chopped (optional)\r', 'Saffron - few strands, soaked in a tbsp of warm milk for 10 mts']",http://www.sailusfood.com/2015/05/10/kulfi-recipe-easy-malai-kulfi/
20,east,Bread gulab jamun,"['bread', ' sugar']","['White bread slices - 8, large, brown sides cut\r', 'Khoya - 1/4 cup (mawa/reduced milk solids) - unsweetened\r', 'Milk - as required to make a smooth dough\r', 'Cardamom powder - 3/4 tsp\r', 'Sugar - 1 1/2 cups\r', 'Water - 3 cups\r', 'Pistachio - for garnish']",http://www.sailusfood.com/2016/03/24/bread-gulab-jamun-recipe-how-to-make-bread-gulab-jamun/
21,east,Why summer is sour ,[],[],http://www.sailusfood.com/2008/05/17/why-summer-is-sour/
22,east,Appam Recipe,"['rice', ' coconut']","['Raw rice - 1 1/2 cups (any rice like sona masuri) soak  in water for 4-5 hours\r', 'Grated coconut - 3/4 cup\r', 'Cooked rice - 2 tbsps (optional)\r', 'Salt - 1 tsp\r', 'Sugar - 2 tsps\r', 'Baking soda - 1/4 tsp']",http://www.sailusfood.com/2013/06/10/appam-recipe-kerala/
23,east,Bhatura ,"['flour', ' curd']","['Maida - 2 cups, (flour)\r', 'Semolina - 3 tbsps (sooji)\r', 'Curd - 4 tbsps (yogurt)\r', 'Oil - 1 tbsp\r', 'Salt - 1/2 tsp\r', 'Sugar - 1/2 tsp\r', 'Baking powder - 1 tsp\r', 'Water to knead into a dough\r', 'Oil - for deep frying']",http://www.sailusfood.com/2013/09/24/recipe-of-bhatura-punjabi-breakfast/
24,east,Mango Kulfi Recipe,"['mango pulp', ' condensed milk']","['Condensed milk - 1 can (400 gms) sweetened\r', 'Fresh ripe mango puree - 3/4 cup\r', 'Fresh cream - 1/2 cup (chilled) OR whipping cream\r', 'Cardamom powder - 1/4 tsp\r', 'Pistachios or almonds - fistful, finely chopped (optional)']",http://www.sailusfood.com/2015/07/07/mango-kulfi-recipe/
25,east,Godhuma (Wheat) Rava - Tomato Upma,['wheat rava'],[],http://www.sailusfood.com/2008/03/03/godhuma-wheat-rava-tomato-upma/
26,east,Palakayalu - Rice Based Crispy Snack,['rice flour'],[],http://www.sailusfood.com/2006/04/04/palakayalu-rice-based-crispy-savory/
27,east,Vegetable Patties Recipe - Vegetable Burger,"['potato', ' carrot', ' cheese']",[],http://www.sailusfood.com/2005/11/30/vegetable-pattis-recipe-vegetable-burger/
28,east,"Andhra tomato pickle recipe, instant & easy",['tomato'],"['Tomatoes - 2 kgs, wash, cut into half and slice each half into 10-12 thin slices\r', 'Salt - 2 1/2 to 3 tbsps\r', 'Sugar - 1 tsp (optional)\r', 'For tempering:\r', 'Oil - 200 ml\r', 'Mustards seeds - 1 tsp\r', 'Cumin seeds - 1 tsp (optional)\r', 'Urad dal - 1 tbsp\r', 'Dry red chilis - 6, tear and de-seed\r', 'Curry leaves - 4-5 sprigs\r', 'Asafoetida - 1 heaped tsp\r', 'Red chili powder - 2 1/2 tbsps (can be increased by another 1/2 tbsp)']",http://www.sailusfood.com/2015/08/12/tomato-pickle-recipe-andhra/
29,east,Oats Masala,"['oats', ' vegetables']","['Oats - 1 cup, dry roasted for 3 mts\r', 'Semolina - 1/2 cup, dry roasted for 5 mts\r', 'Curry leaves - 1 sprig\r', 'Onion - 1, sliced\r', 'Green Chilies - 2, slit\r', 'Carrot - 1, peeled and chopped into small cubes\r', 'Potato - 1, peeled and chopped into small cubes\r', 'Capsicum - 1, chopped into small pieces\r', 'Tomato - 1, finely chopped\r', 'Ginger garlic paste - 1 tsp\r', 'Cinnamon stick - 1""\r', 'Green Cardamom - 1\r', 'Garam Masala powder - 1/4 tsp\r', 'Fresh coriander leaves - 2 tbsps, finely chopped\r', 'Oil - 1 tbsp\r', 'Ghee - 1 1/2 tbsps\r', 'Lemon juice - 1 tbsp']",http://www.sailusfood.com/2012/11/07/oats-masala-indian-recipe/
30,east,Recipes Galore! Savour the taste of fellow bloggers food,[],[],http://www.sailusfood.com/2006/02/14/recipes-galore-savour-the-taste-of-fellow-bloggers-food/
31,east,Marie Biscuit Chocolate Balls,"['marie biscuits', ' condensed milk', ' cocoa powder']",[],http://www.sailusfood.com/2010/07/06/marie-biscuit-chocolate-balls/
32,east,Strawberry phirni,"['strawberries', ' rice']","['Basmati rice - 5 tbsps soaked for 15-20 mts in water, drained and ground to a fine paste with 1/2 cup milk\r', 'Full cream milk - 3 1/2 cups\r', 'Sugar - 1 cup (you can use 3/4 cup if strawberries are not too tart)\r', 'Strawberries - 12, washed, sliced and blend to a puree\r', 'Green cardamom powder - 1/2 tsp OR few drops of strawberry extract\r', 'Pistachios - fistful, blanched, peeled and sliced']",http://www.sailusfood.com/2016/02/17/strawberry-phirni-recipe/
33,east,"Potato fry recipe, easy, quick South Indian style",['potato'],"['Potatoes - 3, large (peel, dice and place in salted water for 15 mts)\r', 'Turmeric powder - 1/2 tsp\r', 'Green chilis - 3, slit length wise\r', 'Pappula podi - 1/2 tsp OR Sambar powder - 1/2 tsp (optional)\r', 'Salt to taste\r', 'Tempering:\r', 'Oil - 1 1/2 tbsps\r', 'Mustard seeds - 1/2 tsp\r', 'Asafoetida - 1/2 tsp\r', 'Curry leaves - 1 sprig']",http://www.sailusfood.com/2015/08/03/potato-fry-recipe-indian/
34,east,Capsicum Masala Rice ,['capsicum'],[],http://www.sailusfood.com/2006/05/16/capsicum-masala-rice/
35,east,Carrot Fry,['carrot'],"['Carrots - 2, large, peeled and cut into small pieces\r', 'Asafoetida - pinch (optional)\r', 'Green chilies - 2 or 3, slit length wise\r', 'Ginger - 1/2"", grated\r', 'Curry leaves - 1 sprig\r', 'Coriander powder - 1 1/2 tsps\r', 'Toasted sesame seeds - 2 tbsps, lightly crushed\r', 'Red chili flakes - 1/2 tsp\r', 'Salt to taste\r', 'Oil - 1 tbsp']",http://www.sailusfood.com/2013/01/24/carrot-fry-recipe/
36,east,Methi Chole - Bhatura,"['methi', ' white chickpeas']",[],http://www.sailusfood.com/2008/01/07/methi-chole-bhatura/
37,east,Mushroom manchurian recipe,"['mushrooms', ' spring onions']","['Mushrooms - 200 gms, clean, wash and drain\r', 'All purpose flour - 2 tbsps (maida)\r', 'Cornflour - 3 tbsps \r', 'Ginger garlic green chili paste - 1 tsp\r', 'Water - approx 1/3 cup\r', 'Salt to taste\r', 'Oil for deep frying\r', 'For sauce:\r', 'Spring onions - 2, whites and greens, finely chopped\r', 'Capsicum - 1/2, cut into bite sized pieces\r', 'Green chilis - 1, finely chopped\r', 'Garlic - 3 cloves, finely minced\r', 'Ginger - 1/2"" piece, finely minced\r', 'Red chili powder - 1/2 tsp (preferably Kashmiri)\r', 'Soy sauce - 1 tsp\r', 'Green chili sauce - 1 1/2 tsps\r', 'Vinegar - 1 tsp\r', 'Tomato sauce - 1 tbsp\r', 'Brown sugar - 1 tsp (or normal white sugar)\r', 'Salt to taste\r', 'Sesame oil - 1 1/2 tbsps (or any cooking oil)\r', 'Coriander leaves - 1 tbsp, finely chopped']",http://www.sailusfood.com/2016/02/21/mushroom-manchurian-dry-recipe/
38,east,Chocolate barfi,"['milk', ' cocoa powder']","['Khoya - 1 1/4 cups, unsweetened mawa \r', 'Milk - 1/4 cup\r', 'Milk powder - 2 tbsps\r', 'Sugar - 1/3 cup, powdered\r', 'Saffron - 3-4 strands soaked in a tbsp of milk (optional)\r', 'Ghee - 1 1/2 tbsps\r', 'Cardamom powder - 1/2 tsp\r', 'Cocoa powder - 1 tbsp\r', 'Pistachios - few, crushed']",http://www.sailusfood.com/2015/02/27/chocolate-barfi-indian-sweets/
39,east,4 Summer Salads,"['sprouts', ' fruits']",[],http://www.sailusfood.com/2009/06/03/4-summer-salads/
40,east,You Are What You Eat Meme : My Top 10 Favorite Foods,[],[],http://www.sailusfood.com/2005/12/10/you-are-what-you-eat-meme-my-top-10-favorite-foods/
41,east,Chandra Kaantalu,"['moong dal', ' sugar']","['1 cup split yellow moong dal/pesara pappu\r', '1 1/2 cup sugar\r', '1/2 cup fresh grated coconut\r', '1/4 cup chopped cashewnuts\r', '1 tsp cardamom powder\r', 'pinch of salt (optional)\r', 'oil for deep frying']",http://www.sailusfood.com/2007/01/13/chandra-kaantalu/
42,east,"Mamidikaya menthi pachadi, instant mango pickle recipe","['raw mango', ' fenugreek seeds']","['Raw mangoes - 2 heaped cups (wash, wipe dry, finely chopped along with skin)\r', 'Red chili pwd - 2 tbsps\r', 'Fenugreek powder - 1 1/2 tsps (methi/menthi powder)\r', 'Mustard powder - 1 tbsp (ava pindi)\r', 'Salt - 1 1/4 tbsps salt\r', 'Asafoetida - 1/2 tsp\r', 'Oil - a little less than 1/2 cup (sesame/til/nuvvulu)']",http://www.sailusfood.com/2015/05/04/mamidikaya-menthi-pachadi-instant-mango-pickle-recipe/
43,east,Bhindi Masala Recipe,['bhindi'],"['Bhindi - 1/4 kg (okra/bendakaya), wash, dry, trim the ends and cut into 1"" pieces\r', 'Onions - 1, large, finely sliced\r', 'Tomato - 1, finely chopped\r', 'Asafoetida - 1/4 tsp\r', 'Ginger green chili paste - 1 tsp\r', 'Sugar - 1/4 - 1/2 tsp\r', 'Turmeric powder - 1/4 tsp\r', 'Red chili powder - 1 tsp\r', 'Coriander powder - 3/4 tsp\r', 'Garam Masala powder - pinch\r', 'Kasuri methi - 1/2 tsp\r', 'Lemon juice - 1/2 tbsp\r', 'Salt to taste\r', 'Cooking oil - 2 tbsps\r', 'Coriander leaves - for garnish (optional)']",http://www.sailusfood.com/2015/07/30/bhindi-masala-recipe/
44,east,Western Maharashtrian Cuisine ~ Indian Food Trail,['dried sandage'],"['Dried Sandage - 1/2 cup\r', '1 Large Onion - 1, large\r', '1 tbsp Kanda Lasun Masala - 1 tbsp\r', '3-4 Cloves of Garlic - 3-4 cloves\r', '2-3 tbsp Dried Coconut - 2-3 tbsps\r', 'Salt per taste\r', '2-3 tbsp Oil - 2-3 tbsps\r', 'Cilantro - few sprigs (coriander leaves)\r', 'For tempering - Â½ tsp Mustard Seeds, Â½ tsp Cumin Seeds, Pinch of Hing and Turmeric\r', 'Water as needed (preferably hot)']",http://www.sailusfood.com/2013/09/25/western-maharashtrian-food/
45,east,How to make Naan (without yeast),['flour'],[],http://www.sailusfood.com/2010/02/22/how-to-make-naan-without-yeast/
46,east,Yellow Moong Dal Ladoo,"['yellow moong dal', ' sugar']","['Yellow moong dal - 1 cup\r', 'Sugar - 3/4 cup, powdered (for a sweeter flavor add another 1/4 cup)\r', 'Milk powder - 4 tbsps (optional)\r', 'Crushed nuts of your choice - 2 tbsps (optional) {pista, almonds or cashew nuts}\r', 'Cardamom powder - 1/4 tsp\r', 'Ghee - 1/4 cup +1 tbsp, melted and lightly warm']",http://www.sailusfood.com/2013/10/29/moong-dal-ladoo-recipe-indian-sweets/
47,east,Prawn Fry,['prawns'],"['Prawns - 500 gms, cleaned and de-veined \r', 'Onions - 2, finely sliced\r', 'Garlic,  - 3, finely minced\r', 'Ginger green chili paste (1"" ginger and 3 green chilies)\r', 'Red chilli pwd - 1 1/2 tsps (adjust)\r', 'Turmeric pwd - 1/4 tsp\r', 'Coriander pwd - 1 tsp\r', 'Saunf pwd - 1/2 tsp\r', 'Kasuri methi - 1/2 tsp (optional)\r', 'Coconut - 2 tbsp (grated)\r', 'Garam masala pwd (3 cloves, 1"" cinnamon stick, 1 elaichi)\r', 'Lemon juice OR curd/yogurt - 1 tbsp\r', 'Salt to taste\r', 'Curry leaves - 15-20\r', 'Cooking oil - 1 1//2 tbsps']",http://www.sailusfood.com/2012/05/01/prawn-fry-recipes-with-shrimp/
48,east,Crumbled Paneer - Green Peas Subzi,"['paneer', ' green peas']",[],http://www.sailusfood.com/2007/09/03/crumbled-paneer-green-peas-subzi/
49,east,Mango falooda recipe,"['falooda sev', ' mango']","['Milk - 1 1/2 cups\r', 'Sugar - 5 tbsps\r', 'Falooda seeds - 1 tbsp (sabja/basil seeds) soak in 1/2 cup water for 20 mins\r', 'Falooda sev - 1 cup\r', 'Mango puree - 1 1/2 cups\r', 'Mango ice cream - 4 scoops\r', 'Chopped mango cubes - 1 cup\r', 'Pistachios - 8, sliced\r', 'Almonds - 6, sliced\r', 'Cherries - 4, for garnish']",http://www.sailusfood.com/2016/06/09/mango-falooda-recipe/
50,east,Tiffin Treats - Chicken Noodles with Peanuts,"['noodles', ' chicken']",[],http://www.sailusfood.com/2006/12/22/tiffin-treats-chicken-noodles-with-peanuts/
51,east,Strawberry Pudding,"['strawberries', ' china grass']","['Milk - 2 cups (I used low fat)\r', 'Sugar - a little less than 3/4 cup\r', 'Strawberry puree - a little less than 3/4 cup (approx 12 fresh strawberries, washed, hulled and pureed)\r', 'Strawberry extract - few drops (optional)\r', 'China grass/agar agar - 10 gm, soaked in 3/4 cup of warm water for 5 mts']",http://www.sailusfood.com/2016/02/19/strawberry-pudding-recipe-eggless/
52,east,Rava Dosa - A Photo Tutorial,"['rice flour', ' maida']",[],http://www.sailusfood.com/2008/04/09/rava-dosa-a-photo-tutorial/
53,east,Potato Fry,['potato'],"['Potatoes - 2, large, washed, peeled and cubed\r', 'Turmeric powder - 1/2 tsp\r', 'Green chilies - 2, slit length wise\r', 'Salt to taste\r', 'For tempering/popping/tadka:\r', 'Oil - 1 1/2 tbsps\r', 'Mustard seeds - 1/2 tsp\r', 'Cumin seeds - 1/2 tsp\r', 'Curry leaves - 1 sprig']",http://www.sailusfood.com/2013/07/30/potato-fry-recipe/
54,east,Mysore Rasam,['tamarind'],[],http://www.sailusfood.com/2009/08/17/mysore-rasam/
55,east,Quick & Easy Summer Meals,"['beetroot', ' chickpeas']",[],http://www.sailusfood.com/2008/04/21/quick-easy-summer-meals/
56,east,Kesar Pista Kulfi Recipe,"['milk', ' saffron']","['Full fat milk - 1 lt\r', 'Malai - 1/3 cup OR fresh cream\r', 'Sugar - 1/2 cup (can be increased by 2 tbsps)\r', 'Corn flour - 1 tbsp, heaped\r', 'Cardamom - 4, powdered\r', 'Pistachios - 8, roughly chopped (optional)\r', 'Saffron - few strands, soaked in a tbsp of warm milk for 10 mts']",http://www.sailusfood.com/2015/06/02/kesar-pista-kulfi-recipe/
57,east,How to make Sambar Powder,"['tur dal', ' red chillis']",[],http://www.sailusfood.com/2009/10/27/how-to-make-sambar-powder/
58,east,Peanut Sundal ,['peanuts'],"['Peanuts - 1 cup, boiled till soft in salted water and drained\r', 'Green chili-ginger paste - 1 tsp (optional but recommended)\r', 'Coconut - 2 tbsps, freshly grated\r', 'Lemon juice - 1 tsp (optional)\r', 'Fresh coriander leaves - garnish\r', 'For tempering:\r', 'Mustard seeds - 1/2 tsp\r', 'Urad dal - 1 tsp (split gram dal/minappa pappu)\r', 'Curry leaves - 1 sprig\r', 'Asafoetida - pinch (hing/inguva)\r', 'Red chili - 1, tear and de-seed']",http://www.sailusfood.com/2013/10/13/peanut-sundal-quick-easy-snacks/
59,east,Palakura Bobbarlu Vadalu - Spinach Black-eyed Peas Fritters,"['spinach', ' black eyed peas']","['1 1/4 cup bobbarlu, soaked in water for 6-8 hrs and drained\r', '1 cup chopped spinach/palakura\r', '1 large finely chopped onion\r', '3-4 green chillis finely chopped\r', '2"" ginger finely minced\r', '1 tsp cumin seeds\r', '2 tbsps coriander leaves finely chopped\r', 'salt to taste\r', 'oil for deep frying']",http://www.sailusfood.com/2008/03/04/palakura-bobbarlu-vadalu-spinach-black-eyed-peas-fritters/
60,east,Indian Food Trail ~ Mangalorean Catholic Cuisine ,['fish'],"['Boneless fish - 500gm (Ghol or Shark)\r', 'Cumin powder - 2 tsp (jeera powder)\r', 'Pepper powder - 1-1/2 tsp \r', 'Turmeric powder - 1/2 tsp \r', 'Lime Juice - 2 tsp \r', 'Salt to taste 1 tsp (or to taste) \r', 'Water - 1/2 cup\r', 'Bread slice - 1 large \r', 'Egg whites - 2, beaten - for coating\r', 'Oil for shallow frying\r', 'To be finely minced\r', 'Onions - 2 medium sized\r', 'Green chilies - 2-3 small (or to taste)\r', 'Ginger - 1-1/2 inch\r', 'Coriander leaves - 5 tbsps, finely minced\r', 'Mint leaves - 2 tbsps, finely minced']",http://www.sailusfood.com/2012/09/05/indian-food-mangalorean-catholic-cuisine/
61,east,Matar Kachori ,"['flour', ' green peas']","['Plain flour - 1 1/2 cups (maida)\r', 'Salt - 1/2 tsp\r', 'Ghee or oil - 6 tbsps\r', 'Water as required to make a dough\r', 'For filling:\r', 'Green peas - 1 1/2 cups, boil for 8 mts in salted water, let them sit in hot water for 10-12 mts, drain and mash lightly\r', 'Cumin seeds - 1/2 tsp\r', 'Green chili-ginger paste - 1 1/2 tsps\r', 'Asafoetida - 1/4 tsp\r', 'Saunf powder - 3/4 tsp (aniseeds)\r', 'Red chili powder - 1/2 tsp\r', 'Coriander powder - 1 1/2 tsps\r', 'Garam masala powder - 1/2 tsp\r', 'Amchur powder - 3/4 tsp\r', 'Sugar - 1 tsp (optional)\r', 'Besan - 2 heaped tbsps, (roasted chickpea powder)\r', 'Ghee or oil - 1 1/2 tbsps']",http://www.sailusfood.com/2014/03/19/matar-kachori-recipe-indian-veg-snack/
